,title,desc,content,keywords
0,New York City Mandates Vaccines for Its Workers to ‘End the Covid Era',"Mayor Bill de Blasio says 46,000 unvaccinated city workers must get a coronavirus shot by November or lose their paychecks.","Gregory Floyd, president of Teamsters Local 237, which represents approximately 7,400 employees in the public housing system, where just six in 10 workers are vaccinated, said he believes many worker… [+1725 chars]","['#Gregory', '#Floyd', '#president', '#Teamsters', '#Local']"
1,Experts Call for U.S. Vaccination Push as Colder Months Loom,Experts say that steady inoculation rates are crucial to avoid a winter coronavirus surge. San Francisco is easing some mask restrictions for vaccinated people.,"LiveUpdated Oct. 8, 2021, 5:56 a.m. ET
Oct. 8, 2021, 5:56 a.m. ET
Experts say that steady inoculation rates are crucial to avoid a winter coronavirus surge. San Francisco is easing some mask restri… [+9850 chars]","['#Oct.', '#a.m.', '#ET', '#LiveUpdated', '#Experts']"
2,The State of the Pandemic,What can the U.S. expect from the coronavirus this fall? And what do we know about booster shots and a possible new treatment?,"Apoorva Mandavilli contributed reporting.
The Daily is made by Lisa Tobin, Rachel Quester, Lynsea Garrison, Annie Brown, Clare Toeniskoetter, Paige Cowett, Michael Simon Johnson, Brad Fisher, Lariss… [+737 chars]","['#Apoorva', '#Mandavilli', '#contributed', '#reporting', '#Daily']"
3,How a Vaccine Mandate Could Worsen a Shortage of Home Care Aides,"Some 250,000 home health care workers must get the coronavirus vaccine by Friday, but tens of thousands of them have yet to receive it.","JASA, an organization serving older adults in New York City, said that its staff members had rushed to be vaccinated this week after an all-out push by the agency. Among its 660 home health aides, so… [+4283 chars]","['#JASA', '#organization', '#serving', '#adults', '#New']"
4,"The Music Lost to Coronavirus, Part 3","Remembering Jacob Desvarieux, John Davis and Chucky Thompson.","This past summer, it briefly seemed as if the worst of the coronavirus might be behind us. But despite some encouraging signs like the concert business amping up again the pandemics landscape continu… [+1147 chars]","['#summer', '#coronavirus', '#signs', '#concert', '#business']"
5,Rikers Death Pushes Toll in N.Y.C. Jails to 13 This Year,"The man who died contracted the coronavirus while awaiting trial on weapons charges after being unable to post $100,000 bail, his lawyer said.","Mr. Mercados brother, Ray Rivera, 65, said that his family could not raise enough money for his bail and was reeling from their loss. 
We didnt want him to die in there, Mr. Rivera said. Im crushed.… [+1828 chars]","['#Mr.', '#Rivera', '#said', '#Mercados', '#brother']"
6,Bolsonaro's Pandemic Handling Draws Explosive Allegation: Homicide,A long-awaited report from a panel of Brazilian senators concludes that Jair Bolsonaro purposely let the coronavirus kill Brazilians in a failed bid for herd immunity.,"The committee was scheduled to release the report on Wednesday and then vote on it a week later. The group of seven opposition senators generally agree on the report, Mr. Calheiros said, suggesting t… [+1906 chars]","['#report', '#committee', '#scheduled', '#release', '#Wednesday']"
7,"Turn Empty N.Y.C. Hotels Into Permanent Housing for Homeless, Adams Says",Thousands of rooms in hotels shuttered by the coronavirus pandemic would become “supportive housing” under a plan announced by New York’s likely next mayor.,"He was not clear about whether there was any overlap between his plan and those that the current mayor, Bill de Blasio, and the former governor of New York, Andrew M. Cuomo, have already begun to bui… [+1359 chars]","['#overlap', '#plan', '#mayor', '#Bill', '#de']"
8,New Jersey Election Seen as Test of Coronavirus Mandates,The New Jersey’s governor contest is one of the first statewide elections to measure how voters now feel about strict coronavirus mandates.,"Still, along the Jersey Shore in Ocean County, where Mr. Trump won by nearly 30 points, it remains easy to find anti-mask yard signs that read Free the Smiles. And across the state some local board o… [+1472 chars]","['#Jersey', '#Shore', '#Ocean', '#County', '#Mr.']"
9,"Live Performance Is Back, With New Rituals Joining the Old Ones",Seeing theater these days can involve waiting in lines to show proof of vaccination and getting rapid coronavirus tests for young children. Many fans seem undeterred.,"They made it in: Reached after the performance, Spino said checkers had let Nicholas attend Stomp with proof of a negative rapid test he had taken earlier in the day.
At some shows, adults who have … [+1492 chars]","['#Reached', '#performance', '#Spino', '#said', '#checkers']"
10,"Please, Everyone, a Moment of Silence for These Antivax Cops Who Ragequit Their Jobs","On Tuesday, around a dozen former Washington State Patrol (WSP) troopers laid their boots and uniform hats on the steps of the Washington State Capitol in memory of those troopers lost to the coronavirus pandemic. Read more...","On Tuesday, around a dozen former Washington State Patrol (WSP) troopers laid their boots and uniform hats on the steps of the Washington State Capitol in memory of those troopers lost to the coronav… [+6505 chars]","['#Washington', '#State', '#troopers', '#Tuesday', '#dozen']"
